taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2053	Onuphidae	2053	Onuphidae	2	FAMILY	ACCEPTED	Animalia	1	Annelida	42	Polychaeta	256	Eunicida	865	Onuphidae	2053					
2228053	Neotanais Beddard, 1886	2228053	Neotanais Beddard, 1886	3	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Tanaidacea	1378	Neotanaidae	5423	Neotanais	2228053			
2336843	Cyclopsis Popov, 1930	2336843	Cyclopsis Popov, 1930	9	GENUS	ACCEPTED	Animalia	1	Chordata	44			Scorpaeniformes	590	Cyclopteridae	8623	Cyclopsis	2336843			
2199736	Eurycope G.O.Sars, 1864	2199736	Eurycope G.O.Sars, 1864	1	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Isopoda	643	Munnopsidae	5379	Eurycope	2199736			
2228329	Paranarthrura Hansen, 1913	2228329	Paranarthrura Hansen, 1913	2	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Tanaidacea	1378	Agathotanaidae	5416	Paranarthrura	2228329			
4477	Callianassidae	4477	Callianassidae	3	FAMILY	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Decapoda	637	Callianassidae	4477					
11683852	Tetrasarsiella olax Kornicker, 1995	11683852	Tetrasarsiella olax Kornicker, 1995	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Ostracoda	353	Myodocopida	1430	Sarsiellidae	5143	Tetrasarsiella	4667309	Tetrasarsiella olax	11683852	
2311913	Eumida Malmgren, 1865	2311913	Eumida Malmgren, 1865	1	GENUS	ACCEPTED	Animalia	1	Annelida	42	Polychaeta	256	Phyllodocida	1079	Phyllodocidae	6973	Eumida	2311913			
2214691	Procampylaspis Bonnier, 1896	2214691	Procampylaspis Bonnier, 1896	6	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Cumacea	1500	Nannastacidae	3217	Procampylaspis	2214691			
2211948	Haploniscus Richardson, 1908	2211948	Haploniscus Richardson, 1908	1	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Isopoda	643	Haploniscidae	5361	Haploniscus	2211948			
2215421	Gynodiastylis Calman, 1911	2215421	Gynodiastylis Calman, 1911	6	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Cumacea	1500	Gynodiastylidae	5304	Gynodiastylis	2215421			
2228324	Paragathotanais Lang, 1971	2228324	Paragathotanais Lang, 1971	16	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Tanaidacea	1378	Agathotanaidae	5416	Paragathotanais	2228324			
2217249	Harpinia Boeck, 1876	2217249	Harpinia Boeck, 1876	2	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Amphipoda	1231	Phoxocephalidae	8010	Harpinia	2217249			
4427	Cyproideidae	4427	Cyproideidae	1	FAMILY	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Amphipoda	1231	Cyproideidae	4427					
4810076	Nealella lux Kornicker, 1994	4810076	Nealella lux Kornicker, 1994	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Ostracoda	353	Myodocopida	1430	Sarsiellidae	5143	Nealella	4810075	Nealella lux	4810076	
